0 1
0.25 1
0.5 0.98211
0.75 0.913411
1 0.810935
1.25 0.684557
1.5 0.536711
1.75 0.395592
2 0.276227
2.25 0.1925
2.5 0.133391
2.75 0.103621
3 0.0881637
3.25 0.0775726
3.5 0.0708459
3.75 0.0635466
4 0.0608273
4.25 0.0569629
4.5 0.0542436
4.75 0.0528124
5 0.0495205
5.25 0.0472306
5.5 0.0457993
5.75 0.0440819
6 0.0395019
6.25 0.0353514
6.5 0.0336339
6.75 0.0320595
7 0.0270502
7.25 0.0251896
7.5 0.0218978
7.75 0.0173179
8 0.0148848
8.25 0.0130242
8.5 0.00830113
8.75 0.00300558
9 0
9.25 0
9.5 0
9.75 0
